object/package/thing,objeto/paquete/cosa,31821.png,Freepik,http://www.freepik.com
person/family/group,persona/familia/grupo,56950.png,Freepik,http://www.freepik.com
woman/wife/female,mujer/esposa/femenino,34353.png,SimpleIcon,http://www.simpleicon.com
man/husband/masculine,hombre/esposo/masculino,33551.png,SimpleIcon,http://www.simpleicon.com
work/job/artesany,trabajo/profesión/artesanía,69769.png,Freepik,http://www.freepik.com
joy/sport/recreation,ocio/deporte/actividades,76696.png,Freepik,http://www.freepik.com
fauna/animal,fauna/animal,64431.png,Freepik,http://www.freepik.com
flora/nature/plant,flora/naturaleza/planta,71199.png,Freepik,http://www.freepik.com
literature/writing/book,literatura/escritura/libro,67762.png,Freepik,http://www.freepik.com
music/song/note,música/canción/nota,402.png,Freepik,http://www.freepik.com
theater/camera/movie,película/cámara/teatro,68976.png,Freepik,http://www.freepik.com
art/sculpture/painting/design,arte/escultura/pintura/diseño,56830.png,Freepik,http://www.freepik.com
television/show/series,televisión/programa/serie,21392.png,Freepik,http://www.freepik.com
title/brand/name,título/marca/nombre,33346.png,Freepik,http://www.freepik.com
idea/thought/concept,idea/pensamiento/concepto,53591.png,Freepik,http://www.freepik.com
expression/language/comics,expresión/historietas/lengua,76253.png,Freepik,http://www.freepik.com
place/nation/flag,lugar/nación/bandera,23370.png,TutsPlus,http://tutsplus.com
building/construction/city,edificio/contrucción/ciudad,24670.png,Freepik,http://www.freepik.com
date/event/day,fecha/evento/día,4430.png,Designmodo,http://www.designmodo.com
vacation/birthday/holidays,vacaciones/cumpleaños/festividades,15864.png,Freepik,http://www.freepik.com
ship/seaborne/swimming,embarcación/marítimo/natación,75615.png,Freepik,http://www.freepik.com
plane/fly,aereo/aerolínea/volar,76443.png,Freepik,http://www.freepik.com
land vehicle/car/turn,vehículo terrestre/auto/girar,48292.png,Icons8,http://www.icons8.com
tools/construction,herramientas/construcción,32025.png,Freepik,http://www.freepik.com
game/toy/youth,juego/juguete/juventud,47577.png,Freepik,http://www.freepik.com
clothing/accesory/costume,ropa/accesorio/disfraz,26487.png,Freepik,http://www.freepik.com
food/edible,alimento/comestible/comida,66681.png,Freepik,http://www.freepik.com
house/interior/domestic,casa/interior/doméstico,48781.png,Freepik,http://www.freepik.com
reality/historical,realidad/histórico,36521.png,Freepik,http://www.freepik.com
fictional/imaginary/wish,ficción/imaginario/deseo,71259.png,Freepik,http://www.freepik.com
new/child/baby,nuevo/hijo/bebé,27888.png,OCHA,http://www.unocha.org
elderly/ancient/past,anciano/antiguo/pasado,76647.png,Freepik,http://www.freepik.com
slow/lasting/turtle,lento/duradero/tortuga,47345.png,Freepik,http://www.freepik.com
fast/exuberante/hare,véloz/exuberante/liebre,74201.png,Freepik,http://www.freepik.com
defense/protection/wall,defensa/protección/muro,76885.png,Freepik,http://www.freepik.com
conflict/weapon/fight,conflicto/arma/lucha,68207.png,Freepik,http://www.freepik.com
life/heart/love,vida/corazón/amor,33328.png,Freepik,http://www.freepik.com
death/disease/bad,muerte/enfermedad/malo,73386.png,Freepik,http://www.freepik.com
joy/positive,alegre/positivo,75482.png,Freepik,http://www.freepik.com
sad/negative,triste/negativo,75530.png,Freepik,http://www.freepik.com
electronics/computers,electrónica/computación,34100.png,SimpleIcon,http://www.simpleicon.com
mechanical/industrial,mecánica/industrial,25319.png,Dave Gandy,http://fontawesome.io
money/rich/expensive,dinero/rico/costoso,66337.png,Freepik,http://www.freepik.com
time/duration,tiempo/duración,62834.png,Freepik,http://www.freepik.com
religion/myth/creed,religión/mito/credo,1845.png,Freepik,http://www.freepik.com
power/politics,poder/política,43361.png,Freepik,http://www.freepik.com
science/chemistry/math,matemática/química/ciencia,43193.png,Freepik,http://www.freepik.com
medicine/farmacy/care,medicina/farmacia/cuidado,73845.png,Freepik,http://www.freepik.com
head/face,cabeza/rostro,1247.png,Freepik,http://www.freepik.com
arm/hand,brazo/mano,68865.png,Freepik,http://www.freepik.com
chest/stomach,torso/estómago,31432.png,Freepik,http://www.freepik.com
leg/foot,pierna/pie,30386.png,Freepik,http://www.freepik.com
ear/sound/listening,oreja/sonido/escuchar,2656.png,Icons8,http://www.icons8.com
nose/smell,nariz/olor/oler,32476.png,Freepik,http://www.freepik.com
eye/sight,ojo/vista/mirar,64945.png,Freepik,http://www.freepik.com
mouth/taste/eat,boca/gusto/comer,45679.png,Freepik,http://www.freepik.com
cloud/rain/snow,nube/lluvia/nieve,70718.png,Freepik,http://www.freepik.com
electricty/storm/rage,electricidad/tormenta/ira,12422.png,Yannick,http://yanlu.de
night/evening/moon,noche/tarde/luna,61734.png,Freepik,http://www.freepik.com
sun/warm/light,sol/cálido/luz/día,60371.png,Taras Shypka,http://dribbble.com/Bugsster
fire/burn/hot,fuego/quemar/caliente,18407.png,Freepik,http://www.freepik.com
water/liquid/aquatic,agua/líquido/acuático,12275.png,Yannick,http://yanlu.de
air/wind/blow,aire/viento/soplar,70611.png,Freepik,http://www.freepik.com
land/dirt/grow,tierra/sucio/crecer,27511.png,OCHA,http://www.unocha.org
rock/mineral/hard,roca/mineral/duro,62989.png,Freepik,http://www.freepik.com
wood,madera,28393.png,Freepik,http://www.freepik.com
metal,metal,44330.png,Freepik,http://www.freepik.com
fabric,tela,43516.png,Freepik,http://www.freepik.com
plastic/rubber,plástico/goma,72043.png,Freepik,http://www.freepik.com
paper/sheet,papel/hoja,31547.png,Freepik,http://www.freepik.com
opposite/contrary/inverse,opuesto/contrario/inverso,64496.png,Freepik,http://www.freepik.com
break/divide/half,romper/separar/mitad,37912.png,Freepik,http://www.freepik.com
fragment/multiplicity/sparse,fragmento/múltiplicidad/esparcido,33062.png,Freepik,http://www.freepik.com
portion/small/piece,parte/pequeño/pieza,69154.png,Freepik,http://www.freepik.com
inside/internal,dentro/interno,18643.png,Freepik,http://www.freepik.com
grid/net/prision,grilla/red/prisión,83.png,Balraj Chana,http://circularchaos.com
zero/nothing/null,cero/nada/nulo,56466.png,Daniel Bruce,http://www.danielbruce.se
unity/one,unidad/uno,56735.png,Alessio Atzeni,http://www.alessioatzeni.com
straight line/ascending,línea recta/derecho/ascenso,43694.png,Freepik,http://www.freepik.com
curve/arc/round,curva/arco/redondeado,33302.png,Freepik,http://www.freepik.com
cross/intersection/sum,cruz/intersección/suma,43869.png,Freepik,http://www.freepik.com
broken line/abrupt/inconstant,recta quebrada/inconstante/brusco,43382.png,Freepik,http://www.freepik.com
spiral/madness/wrap,espiral/locura/envolver,67778.png,Freepik,http://www.freepik.com
sinusoidal/wavy/hair,sinusoidal/ondulado/pelo,2500.png,Stephen Hutchings,http://www.typicons.com
ring/cycle,anillo/cíclo,67353.png,Freepik,http://www.freepik.com
circle/button,círculo/botón,60765.png,Freepik,http://www.freepik.com
triangle,triángulo,67351.png,Freepik,http://www.freepik.com
star,estrella,66829.png,Freepik,http://www.freepik.com
rectangle/square,rectángulo/cuadrado,31033.png,Freepik,http://www.freepik.com
plane,plano,43514.png,Freepik,http://www.freepik.com
cube/brick,cubo/ladrillo,43250.png,Freepik,http://www.freepik.com
sphere,esfera,43135.png,Freepik,http://www.freepik.com
pyramid,pirámide,43324.png,Freepik,http://www.freepik.com
cylinder,cilindro,43559.png,Freepik,http://www.freepik.com
cone,cono,43297.png,Freepik,http://www.freepik.com
hollow/hole/perforated,hueco/agujero/perforado,52773.png,Freepik,http://www.freepik.com
tall/big/high,alto/grande/elevado,60604.png,Freepik,http://www.freepik.com
short/small/low,bajo/pequeño/inferior,60604b.png,Freepik,http://www.freepik.com
huge/large/big,enorme/grande/largo,871.png,Freepik,http://www.freepik.com
tiny/narrow/small,pequeño/estrecho/corto,871b.png,Freepik,http://www.freepik.com
above/up,superior/sobre/arriba,62055b.png,Freepik,http://www.freepik.com
below/down,inferior/debajo/bajo,62055.png,Freepik,http://www.freepik.com
left/begining/before,izquierda/comienzo/antes,62069.png,Freepik,http://www.freepik.com
right/end/after,derecha/final/después,226.png,Freepik,http://www.freepik.com
rotation/surround/cycle,rotación/circundar/ciclo,60918.png,Freepik,http://www.freepik.com
red,rojo,red.png,Freepik,http://www.freepik.com
orange,naranja,orange.png,Freepik,http://www.freepik.com
yellow,amarillo,yellow.png,Freepik,http://www.freepik.com
green,verde,green.png,Freepik,http://www.freepik.com
blue,azul,blue.png,Freepik,http://www.freepik.com
purple,violeta,purple.png,Freepik,http://www.freepik.com
pink,rosa,pink.png,Freepik,http://www.freepik.com
brown,marrón,brown.png,Freepik,http://www.freepik.com
black,negro,black.png,Freepik,http://www.freepik.com
white,blanco,white.png,Freepik,http://www.freepik.com
transparent,transparente,transparent.png,Freepik,http://www.freepik.com
